,close_sma,trend_sma_slow,trend_ema_fast,trend_ema_slow,volatility_atr,momentum_rsi,volume_vpt
10215,-0.4331384174939886,-0.3904792249980669,-0.41765602217433834,-0.38497399417454503,2.1257971068078336,-0.379248906217081,1.4717451534953865
10216,-0.4202384664078023,-0.39395245815488744,-0.4153798863802759,-0.3863141439756445,2.0426555779825404,-0.2291636422628114,7.595601980128259
10217,-0.41875965080009414,-0.3971684148779682,-0.4134539253237642,-0.3875550234211057,1.9563352662943836,-0.2291636422628114,2.491478936303875
10218,-0.4123138523202072,-0.40057732905648913,-0.41414089706976176,-0.3898215020204681,1.8554313234695425,-0.3604225552578688,-1.3695701878443993
10219,-0.40771866357198927,-0.4007381270227795,-0.4121481469920062,-0.39067840904018414,1.7361153426458873,-0.18925771182888523,0.08114989735864
10220,-0.40521219744307585,-0.40183155251684766,-0.40917495691787875,-0.39085099932785194,1.6459702937622311,-0.10330535061856634,2.1006958430178124
10221,-0.39643956345623477,-0.4007381272830478,-0.40279812990706293,-0.38914827873578556,1.639543715844492,0.14862957966989157,6.0121585583588795
10222,-0.3814675996939852,-0.3987879711865544,-0.3958991174130412,-0.38684654196976703,1.5475629404025641,0.2439485691559965,6.478716586319667
10223,-0.36992114048646013,-0.39742826462261027,-0.38959816502794303,-0.38449180089299184,1.4073156567918597,0.27438377583218343,1.6644379851913198
10224,-0.35968639914471157,-0.39702755636233794,-0.38378781967186915,-0.3820805318239182,1.2810931015422256,0.30758119412709223,0.9784893129025142
10225,-0.36003730457180644,-0.3975318185888959,-0.3815329249446592,-0.38113177697862716,1.270929084005049,0.07932946767712755,-1.315693298052632
10226,-0.3649833987471192,-0.3963097548779603,-0.38095313793015445,-0.3808940090469192,1.1123734895595376,-0.03258152608348918,-2.251950427812087
10227,-0.3836315145222112,-0.39772477578406296,-0.38844205430928774,-0.38452307501114874,1.256996383123425,-0.6182898216660556,-10.225986722866768
10228,-0.3972290993993788,-0.39888573617931594,-0.39118805274960683,-0.3861511718449826,1.2607349266665726,-0.3159781663109027,-7.2975947022394365
10229,-0.40523308444953027,-0.4001077998902516,-0.3927265094903374,-0.38727995517399655,1.1172201267738628,-0.25121396232526416,2.7840870864688685
10230,-0.40941052968814384,-0.40168361876264935,-0.39299866640855513,-0.3878284509112161,1.031500060271388,-0.16344500131666298,0.71332626971781
10231,-0.4056508296495654,-0.40279248073863394,-0.3963177945003366,-0.3898263388677213,1.0233094753705747,-0.40577338062878576,-2.927718714324898
10232,-0.4064654313527648,-0.4031623157748004,-0.39835407713390747,-0.3913037297404523,1.0159379954667918,-0.33328683221096694,-2.8933349850752705
